NAME	# MATCHING PROBE SETS	MATCHING PROBE SET(S)	
MT-ND1	1	mt-Nd1	
CYBA	1	Cyba	
EIF5A	1	Eif5a	
REEP3	1	Reep3	
COX8A	1	Cox8a	
ZFP36L2	1	Zfp36l2	
KLF5	1	Klf5	
YBX1	1	Ybx1	
CAPG	1	Capg	
AKR1B10	1	Akr1b8	
RPS29	1	Rps29	
RPS17	1	Rps17	
CA9	1	Car9	
HMGB1	1	Hmgb1	
LY6H	1	Ly6a	
NHP2	1	Nhp2	
EIF2S3	1	Eif2s3x	
DSP	1	Dsp	
RPS28	1	Rps28	
DSG2	1	Dsg2	
RHPN2	1	Rhpn2	
ATP5F1A	1	Atp5a1	
MBOAT1	1	Mboat1	
REG3A	1	Reg3b	
KCNN4	1	Kcnn4	
HNRNPF	1	Hnrnpf	
IFRD1	1	Ifrd1	
FAT1	1	Fat1	
SERPINB1	1	Serpinb1a	
YWHAG	1	Ywhag	
CSTB	1	Cstb	
MT-ND4L	1	mt-Nd4l	
KITLG	1	Kitl	
PPP1R2	1	Ppp1r2	
COX6C	1	Cox6c	
PHGR1	1	Phgr1	
RPL36	1	Rpl36	
TSPAN12	1	Tspan12	
NAP1L1	1	Nap1l1	
SNRPE	1	Snrpe	
RFLNB	1	Rflnb	
G3BP1	1	G3bp1	
COX5A	1	Cox5a	
RPS26	1	Rps26	
RANBP1	1	Ranbp1	
PMP22	1	Pmp22	
AGPS	1	Agps	
PPIA	1	Ppia	
RPL23A	1	Rpl23a	
PHLDA1	1	Phlda1	
VDAC1	1	Vdac1	
SELENOH	1	Selenoh	
RPS25	1	Rps25	
MIF	1	Mif	
SNRPF	1	Snrpf	
AZIN1	1	Azin1	
HMGN1	1	Hmgn1	
OXCT1	1	Oxct1	
RPL35	1	Rpl35	
ATP5F1B	1	Atp5b	
ATP5MPL	1	2010107E04Rik	
RPS23	1	Rps23	
TXNRD1	1	Txnrd1	
CD44	1	Cd44	
NDUFA4	1	Ndufa4	
MT1A	1	Mt1	
RPS12	1	Rps12	
SYT8	1	Syt8	
GPD2	1	Gpd2	
JUP	1	Jup	
SERBP1	1	Serbp1	
RPL31	1	Rpl31	
GCLC	1	Gclc	
NME1	1	Nme1	
RPL39	1	Rpl39	
COX7A2	1	Cox7a2	
DSTN	1	Dstn	
RBP2	1	Rbp2	
CCND1	1	Ccnd1	
PTP4A1	1	Ptp4a1	
BTC	1	Btc	
PAPSS2	1	Papss2	
MUC17	1	Muc3	
RPL37	1	Rpl37	
UQCR10	1	Uqcr10	
TFRC	1	Tfrc	
SDHA	1	Sdha	
IDH1	1	Idh1	
GSTA3	1	Gsta3	
